Acronym,Meaning
ACAS," Aboriginal Children's Advancement Society,Advisory, Conciliation and Arbitration Service"
ACB ,"  Asociación de Clubes de Baloncesto (Spanish for ""Association of Basketball Clubs"")"
ACC," U.S. Air Combat Command,Air Component Commander,Alpine Club of Canada,Altocumulus castellanus,Area Control Center,Atlantic Coast Conference,Automatic climate control"
ACCA," The Association of Chartered Certified Accountants,Automatic Cloud Cover Assessment"
ACCAC ,"  Awdurdod Cymwysterau, Cwricwlwm ac Asesu Cymru (Qualifications, Curriculum and Assessment Authority for Wales)"
ACCD , American Coalition of Citizens with Disabilities
ACCS ,  Air Communications and Control Squadron
ACDA ,  Arms Control & Disarmament Agency
ACDC," Alternating Current Direct Current,the name of an Australian rock music band,a term for a bisexual person,A/Cdre "
ACDT," Apple Certified Desktop Technician, Australian Central Daylight Time"
ACE," Air Combat Emulator (computer game),Allied Command Europe,Armored Combat Earthmover,Automatic Computing Engine"
ACES," Aerolíneas Centrales de Colombia (Spanish, ""Central Colombian Airlines""),Auxiliary Campus Enterprises and Services of Alfred State College"
ACF," Administration for Children and Families,American Car and Foundry,American Culinary Federation"
ACHT ,  Average Call Hold Time
ACID ,"  Atomicity, Consistency, Isolation, and Durability (in databases)"
ACINT ,  Acoustic Intelligence
ACK ,  Acknowledge (telecommunications; cf. NAK)
ACL," Access Control List,Anterior cruciate ligament; the initialism can also refer to an injury to this ligament.,Atlantic Coast Line Railroad"
ACLJ ,  American Center for Law and Justice
ACLOS ,  Automatic CLOS (missile control system)
ACLS ,  American Council of Learned Societies
ACLU," American Civil Liberties Union,American Communist Lawyers Union (pejorative slang for the above)"
ACM ," many, including Association for Computing Machinery; see entry"
ACMC ,  (U.S.) Assistant Commandant of the Marine Corps
ACN," Airborne Communications Node,Australian Company Number (number issued by the Australian government as registration of a limited liability company)"
ACNA ,  Anglican Church in North America
ACO ,  Airspace Control Order
ACOBA ,  Advisory Committee on Business Appointments
ACOG ,  American College of Obstetricians and Gynecologists
ACOM ,  (U.S.) Atlantic Command
ACORN ,  Association of Community Organizations for Reform Now
ACP," African, Caribbean and Pacific Group of States,Air Control Point"
ACR ,  Advanced Concepts and Requirements
ACRI ,  African Crisis Initiative
ACRT ,  Advanced Concepts Research Tool simulator
ACS," Affiliated Computer Services (NYSE ACS),Alaska Communications Service,American Cancer Society,American Chemical Society,Association of Caribbean States,Australian Computer Society"
ACSC ,  Army Command and Staff College (various nations)
ACST ,  Australian Central Standard Time
ACST ,  American Cooperative School of Tunis
ACT," Adaptive Control of Thought (cognitive model),American College Test (ing Program),Australian Capital Territory (also postal symbol),ACT UP "
ACTD ,  Advanced Concept Technology Demonstration
ACTF," (U.S.) Army Constructive Training Federation,Australian Children's Television Foundation,ACT"
ACTU ,  Australian Council of Trade Unions
ACU ,  American Conservative Union
ACUF," BGN Advisory Committee on Undersea Features, American Conservative Union Foundation"
ACV ,  Armoured Combat Vehicle
AD ,  Air Defence 
ADA ,  Air Defence Artillery 
ADAC , (a/i) Allgemeiner Deutscher Automobil
ADAGE ,  Air Defense Air to Ground Engagement (simulation)
ADAP ,  AIDS Drug Assistance Program
ADAS , (a/i) Asiago
ADAT ,  Alesis Digital Audio Tape (recording format)
ADatP ,  Automated Data Processing
ADATS ,  Agricultural Development and Training Society 
ADB ,  Asian Development Bank
ADC ,  Aide De Camp 
ADCTS ,  Advanced Distributed Combat Training System
ADD ,  Analog Digital Digital (CD quality) 
ADDIE ,  Analyze Design Develop Implement and Evaluate
ADDNS ,  Advanced Deployable Day/Night Simulation
ADF ,  Australian Defence Force 
ADGB , Air Defence of Great Britain
ADHD ,  Attention
ADHS ,  Attention
ADI ,  Acceptable/Allowable Daily Intake
ADIZ , (a/i) Air Defence Identification Zone
ADL ,  Anti
ADM ,  Administrative 
ADOA , (a/i) Air Defence Operations Area
ADP ,  Adenosine DiPhosphate 
ADRG ,  Arc
ADS , (a/i) Active Denial System 
ADSR ,"  Attack, Decay, Sustain, Release (sound envelope specification)"
ADT ,  Atlantic Daylight Time (UTC?3 hours)
ADTB ,  Army Doctrine and Training Bulletin
ADW ,  Air Defence Warning
ae ,  Avestan language (ISO 639
AE," Armed Forces Africa/Canada/Europe/Middle East (postal symbol),United Arab Emirates (ISO 3166 digram; FIPS 10"
AED ,  United Arab Emirates dirham (ISO 4217 currency code)
AEDT ,  Australian Eastern Daylight Time
AEF ,  American Expeditionary Force
AEGIS ,  Airborne Early warning Ground environment Interface Segment (fake etymology)
AESR ,  Aeronautical Equipment Service Record
AEST ,  Australian Eastern Standard Time
aet ,  After extra time (Football)
AEW ,  Airborne Early Warning 
af ,  Afrikaans language (ISO 639
aF ,  Attofarad
AF, Afghanistan (FIPS 10
AFA," U.S. Air Force Academy,Asociación del Fútbol Argentino (Spanish, ""Argentine Football Association"")"
AFAIC ,  As Far As I'm Concerned
AFAICT ,  As Far As I Can Tell
AFAIK ,  As Far As I Know
AFAIR ,  As Far As I Remember/Recall
AFAM,"(i/a) Associazione Friulana di Astronomia e Meteorologia (Italian, ""Friuli Association of Astronomy and Meteorology""), Department of African and Afro"
AFATDS ,  Advanced Field Artillery Tactical Data System
AFC," American Football Conference,Asian Football Confederation"
AFCEA ,  Armed Forces Communications and Electronics Association
AFDB ,  African Development Bank
AFES ,  Automatic Fire Extinguishing System
AFG ,  Afghanistan (ISO 3166 trigram)
AFI," French Territory of the Afars and Issas (ISO 3166 trigram; obsolete since 1977), ""Agencia Federal de Investigaciónes"" (México)"
AFIS," Automated Fingerprint Identification System,American Forces Information Service"
AFIST ,  Abrams Full Crew Interactive Skills Trainer
AFJ ,  April Fool's Joke
AFK ,  Away From Keyboard (Internet chat abbreviation)
AFL," American Federation of Labor,American Football League — either the 1960s league that merged into the National Football League, or one of several other leagues of American football,Arena Football League,Australian Football League,AFL"
AFLAC ,  American Family Life Assurance Company of Columbus
AFM ,  Army Field Manual (UK; the U.S. more frequently uses just FM) 
AFN ,  Afghani (ISO 4217 currency code)
AFO ,  Association of Field Ornithologists
AFOSR ,  U.S. Air Force Office of Scientific Research
AFP, Agence France
AFQT ,  Armed Forces Qualification Test
afr ,  Afrikaans language (ISO 639
AFRC ,  Air Force Reserve Command
AFRL ,  Air Force Research Laboratory
AFROTC ,  Air Force Reserve Officer Training Corps
AFRRI ," (i, U.S.) Armed Forces Radiobiology Research Institute"
AFRTS ,  Armed Forces Radio and Television Service
AFS," Active Front Steering,Air Facility Sub"
AFSC," U.S. Air Force Staff College (obsolete; replaced with JFSC),U.S. Air Force Systems Command"
AFSCN ,  U.S. Air Force Satellite Control Network
AFSPC ,  Air Force Space Command
AFT , American Farmland Trust
AFV ,  armoured fighting vehicle
AFWA," Air Force Weather Agency,Association of Fish and Wildlife Agencies,AG[edit]"
ag ,  Attogram
Ag ,  Silver (Latin argentum)
AG," air gunner,Aktiengesellschaft (German, ""incorporated""), Algeria (FIPS 10"
AGA,(a/i) AB Gas
AGARD ,  Advisory Group for Aerospace Research and Development
AGARDograph ,  Advanced Guidance for Alliance Research and Development publication
AGASA ,  Akeno Giant Air Shower Array (cosmic ray detector)
AGB ,  Internal Nintendo initialism (Advanced Game Boy) for Game Boy Advance
AGC," Apollo Guidance Computer,Automatic Gain Control"
AGC ,  Adjutant General's Corps (British Army)
AGDC ,  Australian Game Developers' Conference
AGI ,  Auxiliary Group Intelligence
AGL ,  Above Ground Level
AGM ,  Annual General Meeting
AGN ,  Active Galactic Nucleus
AGO ,  Angola (ISO 3166 trigram)
AGP ,  Accelerated Graphics Port
AGRICOLA ,  Agriculture Online Access
AGS ,  Alaska Ground Station (LandSat)
AGTS ,  Advanced Gunnery Training System
AGU ,  American Geophysical Union
AGW ,  Autonomous Guided Weapon
aH ,  Attohenry
Ah ,  Ampere
AH ,  Attack Helicopter
AHA ,  American Heart Association
AHCPR ,  Agency for Health Care Policy and Research (obsolete; replaced with AHRQ)
AHEC ,  Australian Health Ethics Committee
AHPCRC ,  Army High Performance Computing Research Center
AHQ , Air Headquarters
AHRQ ,  Agency for Healthcare Research and Quality
AHS ,  American Housing Survey
AI," Air Interdiction,Amnesty International,Artificial Insemination,Artificial Intelligence, Anguilla (ISO 3166 digram)"
AIA," Aerospace Industries Association,American Institute of Architects, Anguilla (ISO 3166 trigram)"
AIAA ,  American Institute of Aeronautics and Astronautics
AIC," African Independent Church,Animal Identification Coordinator"
AICD ,  Australian Institute of Company Directors
AICMFP ,  And I Claim My Five Pounds
AID ,  U.S. Agency for International Development
AIDS ,  Acquired Immune Deficiency Syndrome
AIM ," many, including AOL Instant Messenger, Australian Institute of Management; see entry"
AIMP ,  Aurora Incremental Modernization Project
AIPAC ,  American Israel Public Affairs Committee
AIR ,  Aircraft Inventory Record
AIRFA ,  American Indian Religious Freedom Act
AIRS , (a/i) Aerometric Information Retrieval System (obsolete; replaced with AFS)
AIS," Australian Institute of Sport,Automatic Identification System"
AISB ,  (British Society for the Study of) Artificial Intelligence and the Simulation of Behaviour
aJ ,  Attojoule
AJ ,  Azerbaijan (FIPS 10
Ajax ,  Asynchronous JavaScript And XML
AJD ,  Astronomical Julian day
AJP ,  Allied Joint Publication
AJPW ,  All Japan Pro Wrestling
ak ,  Akan languages (ISO 639
aK ,  Attokelvin
AK ,  Alaska (postal symbol)
aka ,  Akan languages (ISO 639
AKA ,  Above knee amputation (orthopaedic usage)
AKDT ,  Alaska Standard Daylight Saving Time (UTC?8 hours)
AKST ,  Alaska Standard Time (UTC?9 hours)
AKP ,"  Adalet ve Kalk?nma Partisi (Turkish, ""Justice and Development Party"")"
aL ,  Attolitre
Al ,  Aluminium
AL," Alabama (postal symbol),Albania (FIPS 10"
ALA ,  Åland Islands (ISO 3166 trigram)
ALAP ,  As Long/Late As Possible
ALARM ,  Air
ALB ,  Albania (ISO 3166 trigram)
ALD ,  Accounting Line Designator (nuclear weapon targeting)
ALERT ,  Advanced Linked Extended Reconnaissance and Targeting 
ALF," Africa Leadership Forum,Alien Life Form (cf. ALF (TV series)),Animal Liberation Front"
ALG ,"  Algeria (IOC and FIFA trigram, but not ISO 3166)"
ALGOL ,  ALGOrithmic Language
ALL ,  Albanian lek (ISO 4217 currency code)
ALOA ,"  Associated Locksmiths of America, Inc."
ALOC," Air Lines Of Communication, Average Length of Calls"
ALPA ,  Air Line Pilots Association
ALS ,  Amyotrophic Lateral Sclerosis 
ALSHS ,  Abraham Low Self
ALSP ,  Aggregate Level Simulation Protocol
ALTE ,  Association of Language Testers in Europe
ALTACS ,  Automated decision Logic Tactical Air Combat Simulation
am, Amharic language (ISO 639
Am ,  Americium
AM,"many, including Amplitude Modulation and Ante Meridiem; see entry, Armenia (FIPS 10"
AM1 , Airman 1st class
AMA," American Medical Association,Australian Medical Association"
AMAPS ,"  Aircraft, Missile, Avionics Performance Simulation"
AMC," Adaptive modulation and coding (digital communications),U.S. Air Mobility Command,American Motors Corporation,American Movie Classics (TV network; now known simply by the initials),U.S. Army Materiel Command"
AMCB ,  U.S. Army/Marine Corps Board
AMD," Advanced Micro Devices,Age"
AMF ,  Afghan Military Force
AMFOM ,"  Advanced Missile Fly Out Model (""am"
AMFR, Age
AMFRS, Advanced Multi
amh ,  Amharic language (ISO 639
AML ,  Acute Myeloid Leukaemia
AMLCD ,  Active Matrix Liquid Crystal Display
AMLO," Andrés Manuel López Obrador (Mexican politician),Anti"
AMO ,  Atlantic Multidecadal Oscillation
AMOLED ,  Active
AMOS," Advanced MOrtar System,Air Force Maui Optical and Supercomputing observatory"
AMP," Adenosine MonoPhosphate,Automated Mission Planner"
AMRAAM ,  Advanced Medium
AMRDEC ,"  U.S. Aviation & Missile Research, Development, & Engineering Center"
AMS," Agriculture Marketing Service,American Mathematical Society"
AMSAA , (i/a) U.S. Army Materiel Systems Analysis Activity
AMSO , (i/a) U.S. Army Model and Simulation Office
AMSU , Advanced Microwave Sounding Unit
AMTE ,  UK Admiralty Marine Technology Establishment (1977
an ,  Aragonese language (ISO 639
aN ,  Attonewton
AN, Andorra (FIPS 10
ANA," Administration for Native Americans,Afghan National Army,All Nippon Airways,Anti"
ANC ,  African National Congress
AND ,  Andorra (ISO 3166 trigram)
ANFO ,  Ammonium nitrate/fuel oil (explosive)
ANG," Air National Guard, Angola (IOC and FIFA trigram, but not ISO 3166), Netherlands Antillian guilder (ISO 4217 currency code)"
ANGLiCo ,  Air/Naval Gunfire Liaison Company
ANL ,  Argonne National Laboratory
ANM ,  Acoustic Noise Monitor
ANOVA ,  ANalysis Of VAriance
ANS ,  Applied and Natural Sciences
ANSI ,  American National Standards Institute
ANTM ,  America's Next Top Model
ANT," Netherlands Antilles (ISO 3166 trigram),Antigua and Barbuda (IOC trigram, but not ISO 3166 or FIFA)"
ANTY ," Acronyms, No Thank You"
ANWR ,  Arctic National Wildlife Refuge /?ænw?r/
ANZ ,  Australia and New Zealand Banking Group
ANZAC ,  Australian and New Zealand Army Corps
AO ,  Angola (FIPS 10
AOA ,  Air Officer in charge of Administration 
AOC ,  Air Operations Centre 
AOD ,  Adrenalin O.D. (punk rock band)
AOI ,  Angle Of Incidence  Arab Organization for Industrialization
AOL ,  America OnLine
AOR ,  Area of Responsibility
AOSTH ,  Adventures of Sonic the Hedgehog
AOTS ,  Attack of the Show!
AOU ,  American Ornithologists' Union
AP," Advanced Placement,Air Publication, Andhra Pradesh (Indian state code), Armed Forces Pacific (postal symbol), Associated Press,Auto Pilot"
APA ,
APB ,  All Points Bulletin (police jargon)
APC," Armoured Personnel Carrier,Armour Piercing Capped (ammunition)"
APEC ,  Asia Pacific Economic Cooperation
APCNR ,  Armour
APCR ,  Armour
APDS ,  Armour
APEDS ,  AMSAA Performance Estimates Data System
APEX ,  Applied Physics Express
APFSDS ,  Armour
APHA ,  American Public Health Association
APHE ,  Armour
APHIS ,  Animal and Plant Health Inspection Service
API ,  Application Programming Interface
APL," A Programming Language,Acute Promyeloid Leukaemia,Anti"
APM ,  Advanced Power Management
APOD ,  Aerial Port (Airport) Of Debarkation
APOE ,  Aerial Port (Airport) Of Embarkation
APOLLO ,  Apache Point Observatory Lunar Laser
APP ,  Allied Procedural Publication
APR ,  Annual Percentage Rate
APS, Advanced Photo System (cf. APS
AQ," AdventureQuest, American Samoa (FIPS 10"
AQIM ,  Al
ar ,  Arabic language (ISO 639
Ar ,  Argon
AR ,  Argentina (FIPS 10
ara ,  Arabic language (ISO 639
ARAG ,  Advanced Research and Assessment Group
ARB ,  Administrative Review Board
ARBA , (a/i) Army Review Boards Agency
ARC ,  Arc
ARCA ,  Automobile Racing Club of America
ARCENT ,  United States Army Central Command
ARDA ,  Advanced Research and Development Activity (became DTO 2006)
ARE ,  UK Admiralty Research Establishment (
ARF ,  ASEAN Regional Forum
arg ,  Aragonese language (ISO 639
ARG ,  Argentina (ISO 3166 trigram)
ARH ,  Armed Reconnaissance Helicopter
ARI ,  Acute Respiratory Infection 
ARL ,  UK Admiralty Research Laboratory (1921
ARM ,  Anti
ARNet ,  Acquisition Reform Network
ARP ,  Address Resolution Protocol 
ARPA ,  Advanced Research Projects Agency
ARRC ,  ACE Rapid Reaction Corps
ARRF ,  Allied Rapid Reaction Force
ARRL ,  American Radio Relay League
ARS ,  Agricultural Research Service 
ARSC ,  Arctic Region Supercomputing Center
ARSPACE ,  U.S. Army Space Command
ART ,  Adaptive Resonance Theory 
ARTCC ,  Air Route Traffic Control Center
ARWG ,"  Army Research Working Group (""are"
as ,  Adult swim 
aS ,  Attosiemens
As ,  Arsenic
AS ,  American Samoa (postal symbol; ISO 3166 digram) 
AS ,  ActionScript
ASA ,  AcetylSalicylic Acid 
ASAP ,  As Soon As Possible
ASARS ,  Advanced Synthetic Aperture Radar System 
ASB ,  Associated Student Body 
asbl ,"  association sans but lucratif (French ""Non"
ASBO ,  Anti
ASCAP ,"  American Society of Composers, Authors, and Publishers"
ASCC ,  Army Service Component Commander 
ASCIET ,  All Services Combat Identification Evaluation Team
ASCII ,  American Standard Code for Information Interchange
ASD ,  (U.S.) Assistant Secretary of Defense 
ASDIC ,  Allied Submarine Detection Investigation Committee (Sonar)
ASEAN ,  Association of Southeast Asian Nations
ASFAR ,  Americans for a Society Free of Age Restrictions
ASG ,  Area Support Group
ASIC ,  Australian Securities and Investments Commission 
ASICS ,"  Anima sana in corpore sano (Latin, ""A sound mind in a sound body"") (athletic shoe manufacturer)"
ASIO ,  Australian Security Intelligence Organisation 
ASIP ,  Advanced System Improvement Program 
ASL ,  Above Sea Level 
asm ,  Assamese language (ISO 639
ASM ,  Air
ASMB ,  American Society for Matrix Biology 
ASME ,  American Society of Mechanical Engineers 
ASMP ,  Air
ASN ,  Associate of Science in Nursing
ASOC , (a/i) Air Sovereignty Operations Centre 
ASP ,  Active Server Pages 
ASPI ,  Australian Strategic Policy Institute
ASR ,  Alkali
ASRAAM ,  Advanced Short
ASSC ,  Association for the Scientific Study of Consciousness
AST ,  Atlantic Standard Time (UTC?4 hours)
ASTIA ,  Armed Services Technical Information Agency
ASTM ,  American Society for Testing and Materials
ASTREA ,  Aerial Support To Regional Enforcement Agencies (sheriff's air support unit)
ASUW ,  AntiSUrface Warfare
ASVAB , Armed Services Vocational Aptitude Battery(taken by juniors in high school in the USA)
ASVEL ,"  Association Sportive Villeurbanne Éveil Lyonnais (Association Sportive is French for ""Sporting Association""; the club was founded through the merger of AS Villeurbanne and Éveil Lyonnais)"
ASW ,  AntiSubmarine Warfare
ASWORG ,  (U.S.) AntiSubmarine Warfare Operations Research Group
ASX ,  Advanced Stream Redirector 
aT ,  Attotesla
At ,  Astatine
AT ,  Anti
ATA ,  Advanced Technology Attachment (IBM Personal Computer) 
ATAC ,  Air Transportable Acoustic Communications
ATACMS ,  Army TACtical Missile System
ATAPI ,  Advanced Technology Attachment Packet Interface
ATAS ,  Air
ATAT ,  Aiken Tactical Airsoft Team / Star Wars vehicle
ATB ,  Active Time Battle 
ATC ,  Air Traffic Control 
ATCCIS ,  Army Tactical Command and Control Information System
ATESS ,  Aerospace and Telecommunications Engineering Support Squadron
ATF ,  French Southern Territories (ISO 3166 trigram) 
ATG ,  Antigua and Barbuda (ISO 3166 and FIFA trigram)
ATGM ,  Anti
ATGW ,  Anti
ATI ,"  Allied Telesyn International, Inc. "
Atisbo , a Local Government Area in Nigeria named for constituent communities (Ago
ATK ,  Attack
ATL ,"  Atlanta, Georgia, the largest city and capital of Georgia"
ATLAS ,  All
ATM ,  Automated Teller Machine 
ATN ,  Dronning Maud Land (ISO 3166 trigram; merged with AQ in 1983)
ATO ,  Air Tasking Order 
ATP ,  Adenosine TriPhosphate 
ATSD ,  (U.S.) Assistant Secretary of Defense
ATSDR ,  Agency for Toxic Substances and Disease Registry
ATV ,  All
ATWA ,"  Air, Trees, Water, Animals"
Au ,  Gold (Latin Aurum)
AU ,  African Union (was OAU before 2000) 
AUC ,"  Ab Urbe Condita / Anno Urbis Conditae (Latin ""from the founding of the city"" / ""in the year since the founding of the city"") (of Rome) "
AUD ,  Australian dollar (ISO 4217 currency code)
AUS ,  Australia (ISO 3166 trigram)
AUSCANNZUKUS ,"  Australia, Canada, New Zealand, United Kingdom, United States (security designation)"
Auslan ,  Australian Sign Language
AUT ,  Austria (ISO 3166 trigram)
AUTL ,  Army Universal Task List
av ,  Avar language (ISO 639
aV ,  Attovolt
Av ,  Aperture value (photographic mode)
AV, Anguilla (FIPS 10
ava ,  Avar language (ISO 639
AVA ,  American Viticultural Area
AVB ,  Audio Video Bridging
AVDLR ,  Aviation Depot Level Repair
ave ,  Avestan language (ISO 639
AVGP ,"  Armoured Vehicle, General Purpose"
AVI ,  Audio Video Interleave
AVIM ,  Aviation Intermediate Maintenance
AVLB ,  Armoured Vehicle Launched Body
AVM, Air Vice
AVO ,  Apprehended Violence Order
AVP ,  Arubaanse Volkspartij
AVP ,  Association of Volleyball Professionals
AVRE ,  Armoured Vehicle Royal Engineers
AVTB," Armoured Vehicle Test Bed, Aviation Test Bed"
AVUM ,  Aviation Unit Maintenance
AVVO ,  Acute Vaginal Venereal Outbreak
aW ,  Attowatt
AW ,  Aruba (ISO 3166 digram)
AWA ,  American Wrestling Association
AWACS ,  Airborne Warning And Control System
AWC ,  Air Warfare Centre
AWD ," many, including All Wheel Drive; see entry"
AWE , (i/a) Advanced Warfighting Experiment
AWG ,  Aruban guilder (ISO 4217 currency code)
AWOL ,  Absent Without Official Leave / Absent WithOut Leave (military jargon)
AWP ,  Awaiting Parts (SM&R code)
AWSIM ,  Air Warfare SIMulation
AWST ,  Australian Western Standard Time
AWW ,  Above Water Warfare
AX ,  Åland Islands (ISO 3166 digram)
AXP ,  Ambulance eXchange Point
ay ,  Aymara language (ISO 639
AY ,  Antarctica (FIPS 10
AYBABTU ,  All Your Base Are Belong To Us
aym ,  Aymara language (ISO 639
AYU ,  As Yet Unknown
az ,  Azerbaijani language (ISO 639
AZ," Arizona (postal symbol),Azerbaijan (ISO 3166 digram), Alkmaar Zaanstreek (Dutch football club)"
aze ,  Azerbaijani language (ISO 639
AZE ,  Azerbaijan (ISO 3166 trigram)
AZN ,  Azerbaijani manat (ISO 4217 currency code)
AZUR ,"  Actions en zone urbaine (French, Urban Operations)"
BAR," Barbados (IOC trigram, but not FIFA or ISO 3166), British American Racing,Browning Automatic Rifle,Buy"
BB, Barbados (ISO 3166 digram; FIPS 10
BBB," Better Business Bureau,Blood"
BBC," Breeding Bird Census,British Broadcasting Corporation, Bumper to Back of Cab (trucking measurement)"
BBD," Barbadian dollar (ISO 4217 currency code), Bowel Bladder Dysfunction"
BBL," Be Back Later,Bird Banding Laboratory,British Basketball League,BBN "
BBS," Breeding Bird Survey (North America),Brigade/Battalion Battle Simulation,Bulletin Board System,BBSRC "
BBYO , B'nai B'rith Youth Organization
BC," Before Christ,Blind Copy (in emailers),Boston College, Botswana (FIPS 10"
BCA," Bachelor of Computer Application,Black Coaches & Administrators,BCC "
BCCI," Bank of Credit and Commerce International,Board of Control for Cricket in India,BCD "
BCE," Banque centrale européenne (French, ""European Central Bank""),Battlefield Co"
BCS," Bachelor of Computer Science,Bardeen, Cooper, and Schrieffer superconduction theory,Bowl Championship Series (US college football),BCT "
BEA," Banque extérieure d'Algérie,British European Airways (ancestor of British Airways),British Electricity Authority,bel "
BES," Budget Estimate Submission, Caribbean Netherlands (ISO 3166 trigram; from the entity's alternate name of Bonaire, Sint Eustatius and Saba),BESS "
BH," Bahrain (ISO 3166 digram),Belize (FIPS 10"
BHS," British Home Stores, The Bahamas (ISO 3166 trigram),BI[edit],bi "
BNF, Backus
BNP," British National Party,Banque Nationale de Paris, a predecessor to today's BNP Paribas,BNS "
BO," Back Orifice, Belarus (FIPS 10"
BoAML , Bank of America Merrill Lynch
BOC," British Orthodontic Society,British Oxygen Company,BÖC "
BOGs ,  Bunch of Guys
BOI," Balance Of Investment,Basis Of Issue,BOL "
BOM," Base Object Model,Bill Of Materials,Block of the Month quilting term,Business opportunity meeting,BOP "
BOQ," Bill Of Quotations,Bachelor Officers' Quarters,Bank Of Queensland,bos "
BOT," Balance of Trade, Botswana (IOC and FIFA trigram, but not ISO 3166), Build Operate Transfer, Bank of Thailand,BP[edit]"
BP," Battle Position,British Petroleum (today, BP does not officially stand for anything), Solomon Islands (FIPS 10"
BPV," Battlefield Planning Visualization,Bovine papillomavirus,BQ[edit]"
BQ," British Antarctic Territory (former ISO 3166 digram; merged with AQ in 1979),Caribbean Netherlands (current ISO 3166 digram; based on the entity's alternate name of Bonaire, Sint Eustatius and Saba),Navassa Island (FIPS 10"
BR, Brazil (ISO 3166 digram; FIPS 10
BRB," Barbados (ISO 3166 trigram), ""Be Right Back"" (Internet chat abbreviation),BRDM "
BRN," Bahrain (IOC trigram, but not FIFA or ISO 3166), Brunei (ISO 3166 trigram),BRSB "
BS," The Bahamas (ISO 3166 digram),Bassas da India (FIPS 10"
Bullshit,
BSA," Birmingham Small Arms (motorcycles company),Boy Scouts of America,Brigade Support Area"
BSatCoP , Benjamin Sniddlegrass and the Cauldron of Penguins
BSD," Bahamian dollar (ISO 4217 currency code), Berkeley Software Distribution (distinct from BSoD)"
